date	open	close	high	low	volume	code
2003-01-02	1.97	1.955	1.979	1.95	111795.01	600036
2003-01-03	1.955	1.97	1.97	1.945	37898.54	600036
2003-01-06	1.965	1.979	1.989	1.953	43957.43	600036
2003-01-07	1.977	1.96	1.999	1.958	26874.5	600036
2003-01-08	1.96	2.042	2.074	1.953	114910.32	600036
2003-01-09	2.05	2.12	2.152	2.018	364468.99	600036
2003-01-10	2.127	2.089	2.149	2.089	257210.25	600036
2003-01-13	2.081	2.069	2.106	2.052	67816.8	600036
2003-01-14	2.069	2.275	2.275	2.069	931500.48	600036
2003-01-15	2.304	2.232	2.341	2.183	689728.83	600036
2003-01-16	2.222	2.256	2.3	2.205	310599.35	600036
2003-01-17	2.28	2.256	2.307	2.236	217974.49	600036
2003-01-20	2.256	2.312	2.36	2.227	312577.33	600036
2003-01-21	2.3	2.29	2.365	2.273	323533.58	600036
2003-01-22	2.256	2.268	2.287	2.256	112948.9	600036
2003-01-23	2.27	2.256	2.302	2.251	66939.92	600036
2003-01-24	2.256	2.314	2.348	2.244	174469.34	600036
2003-01-27	2.329	2.372	2.431	2.324	349255.35	600036
2003-01-28	2.372	2.375	2.397	2.353	116918.09	600036
2003-01-29	2.38	2.387	2.421	2.37	226119.0	600036
2003-02-10	2.387	2.317	2.387	2.314	106321.07	600036
2003-02-11	2.304	2.319	2.324	2.285	63178.98	600036
2003-02-12	2.307	2.336	2.343	2.292	78526.99	600036
2003-02-13	2.343	2.292	2.35	2.287	105291.08	600036
2003-02-14	2.3	2.304	2.329	2.297	68660.79	600036
2003-02-17	2.3	2.278	2.314	2.263	71649.08	600036
2003-02-18	2.275	2.266	2.287	2.244	62312.78	600036
2003-02-19	2.268	2.304	2.312	2.256	57840.07	600036
2003-02-20	2.297	2.3	2.314	2.292	60622.94	600036
2003-02-21	2.292	2.249	2.302	2.229	149419.26	600036
2003-02-24	2.249	2.234	2.263	2.229	64232.19	600036
2003-02-25	2.234	2.275	2.28	2.232	66916.88	600036
2003-02-26	2.292	2.273	2.292	2.263	47524.16	600036
2003-02-27	2.275	2.314	2.324	2.275	137475.31	600036
2003-02-28	2.314	2.285	2.314	2.275	62775.08	600036
2003-03-03	2.28	2.292	2.304	2.278	34341.61	600036
2003-03-04	2.304	2.317	2.336	2.297	128569.81	600036
2003-03-05	2.329	2.309	2.329	2.287	72569.45	600036
2003-03-06	2.312	2.278	2.324	2.278	99448.05	600036
2003-03-07	2.278	2.278	2.287	2.27	42148.69	600036
2003-03-10	2.278	2.227	2.285	2.224	141184.38	600036
2003-03-11	2.222	2.217	2.244	2.207	109958.78	600036
2003-03-12	2.217	2.227	2.229	2.205	64425.05	600036
2003-03-13	2.222	2.224	2.241	2.217	51798.05	600036
2003-03-14	2.224	2.241	2.256	2.222	57907.68	600036
2003-03-17	2.241	2.239	2.249	2.229	76795.46	600036
2003-03-18	2.244	2.261	2.292	2.239	133741.23	600036
2003-03-19	2.261	2.312	2.341	2.256	265707.24	600036
2003-03-20	2.312	2.317	2.35	2.304	134176.48	600036
2003-03-21	2.317	2.329	2.367	2.304	186910.56	600036
2003-03-24	2.329	2.317	2.36	2.302	132626.49	600036
2003-03-25	2.309	2.312	2.324	2.297	91181.76	600036
2003-03-26	2.304	2.353	2.367	2.304	297502.53	600036
2003-03-27	2.35	2.448	2.532	2.341	685949.34	600036
2003-03-28	2.45	2.452	2.501	2.435	456877.73	600036
2003-03-31	2.45	2.494	2.511	2.448	268383.15	600036
2003-04-01	2.494	2.535	2.608	2.494	924169.6	600036
2003-04-02	2.542	2.547	2.569	2.53	153050.12	600036
2003-04-03	2.545	2.496	2.564	2.494	475720.54	600036
2003-04-04	2.494	2.52	2.554	2.481	307315.24	600036
2003-04-07	2.525	2.62	2.651	2.525	675468.38	600036
2003-04-08	2.612	2.639	2.678	2.586	567351.77	600036
2003-04-09	2.644	2.814	2.833	2.644	1055396.26	600036
2003-04-10	2.792	2.84	2.918	2.792	2480141.91	600036
2003-04-11	2.862	2.872	2.925	2.826	1143807.64	600036
